drug,drug_name,synonyms,smiles,smiles_source
1,Erlotinib,"Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415",C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,name
3,Rapamycin,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune",COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,name
5,Sunitinib,"Sutent, Sunitinib Malate, SU-11248",CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,name
6,PHA-665752,"PHA665752, PHA 665752",Cc1[nH]c(C=C2C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCCC1CN1CCCC1,name
9,MG-132,"LLL cpd, MG 132, MG132",CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,name
11,Paclitaxel,"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane",CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,name
17,Cyclopamine,,CC1=C2CC3C(CC=C4CC(O)CCC43C)C2CCC12OC1CC(C)CNC1C2C,name
29,AZ628,"AZ-628, AZ 628",Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,name
30,Sorafenib,"Nexavar, 284461-73-0, BAY 43-9006",CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,name
32,Tozasertib,"MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68",Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,name
34,Imatinib,"Gleevec, STI-571",Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,name
35,NVP-TAE684,"NVP-TAE 684, TAE684, TAE-684",COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,name
37,Crizotinib,"Xalkori, PF2341066, PF-2341066, PF 2341066",CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,name
38,Saracatinib,"AZD0530, AZD-0530, AZ-10353926",CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,name
41,S-Trityl-L-cysteine,"NSC 83265, Tritylcysteine",NC(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,name
45,Z-LLNle-CHO,"Z-L-Norleucine-CHO, Gamma-Secretase Inhibitor 1",CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,name
51,Dasatinib,"BMS-354825-03, BMS-354825, Sprycel",Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,name
52,GNF-2,KIN001-013,NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,name
53,CGP-60474,"KIN001-019, CGP60474, CGP 60474",OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1,name
54,CGP-082996,"CINK4, KIN001-021",CCNc1cc(NC2CCC(O)CC2)nc(Nc2ccc3c(ccn3Cc3ccccc3)c2)n1,name
55,A-770041,KIN001-111,COc1cc(-c2nn(C3CCC(N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C,name
56,WH-4-023,KIN001-112,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)c(OC)c1,name
59,WZ-1-84,KIN001-123,,missing
60,BI-2536,,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,name
62,BMS-536924,BMS 536924,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,name
63,BMS-509744,"KIN001-127, ITK inhibitor",COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,name
64,CMK,KIN001-128,Cc1ccc(-c2c(C(=O)CCl)n(CCCO)c3ncnc(N)c23)cc1,name
71,Pyrimethamine,"Daraprim, Chloridine",CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,name
83,JW-7-52-1,,,missing
86,A-443654,KIN001-139,Cc1[nH]nc2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12,name
87,GW843682X,GW843682X (AN-13),COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,name
88,Entinostat,MS-275,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,name
89,Parthenolide,,C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,name
91,GSK319347A,"KIN001-135, IKK-3 inhibitor",COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(C#N)s3)c2cc1OC,name
